file_name,cosine_similarity
sample_0.wav,0.6844128
sample_1.wav,0.6577332
sample_10.wav,0.721384
sample_11.wav,0.7228413
sample_12.wav,0.48240995
sample_13.wav,0.69107807
sample_14.wav,0.6784132
sample_15.wav,0.6192236
sample_16.wav,0.6903042
sample_17.wav,0.6349214
sample_18.wav,0.63741827
sample_19.wav,0.5965299
sample_2.wav,0.6064743
sample_20.wav,0.7069757
sample_21.wav,0.6061249
sample_22.wav,0.6267889
sample_23.wav,0.7023312
sample_24.wav,0.6899138
sample_25.wav,0.6965754
sample_26.wav,0.6013037
sample_27.wav,0.63402706
sample_28.wav,0.6315249
sample_29.wav,0.5642057
sample_3.wav,0.50469035
sample_30.wav,0.642732
sample_31.wav,0.639571
sample_32.wav,0.5447806
sample_33.wav,0.62764037
sample_34.wav,0.6548618
sample_35.wav,0.6556551
sample_36.wav,0.7027304
sample_37.wav,0.58748263
sample_38.wav,0.5716002
sample_39.wav,0.6076283
sample_4.wav,0.52930963
sample_40.wav,0.67019933
sample_41.wav,0.671602
sample_42.wav,0.6101159
sample_43.wav,0.58592397
sample_44.wav,0.64810514
sample_45.wav,0.52857774
sample_46.wav,0.66237754
sample_47.wav,0.509452
sample_48.wav,0.46036625
sample_49.wav,0.6557642
sample_5.wav,0.7468449
sample_50.wav,0.5577842
sample_51.wav,0.7487502
sample_52.wav,0.5573403
sample_53.wav,0.7145667
sample_54.wav,0.6294851
sample_55.wav,0.62107253
sample_56.wav,0.702658
sample_57.wav,0.68670154
sample_58.wav,0.5340553
sample_59.wav,0.6495453
sample_6.wav,0.6672587
sample_7.wav,0.6954827
sample_8.wav,0.5049547
sample_9.wav,0.64696276
AVERAGE,0.6302925
