file_name,cosine_similarity
sample_0.wav,0.7733474
sample_1.wav,0.6029075
sample_10.wav,0.67472166
sample_11.wav,0.6423423
sample_12.wav,0.71732
sample_13.wav,0.6949326
sample_14.wav,0.7467259
sample_15.wav,0.60302895
sample_16.wav,0.6256512
sample_17.wav,0.6784627
sample_18.wav,0.6784892
sample_19.wav,0.71078753
sample_2.wav,0.7111785
sample_20.wav,0.6838041
sample_21.wav,0.68899536
sample_22.wav,0.6999321
sample_23.wav,0.7780221
sample_24.wav,0.7289119
sample_25.wav,0.62812424
sample_26.wav,0.62462604
sample_27.wav,0.7465923
sample_28.wav,0.7653884
sample_29.wav,0.6888359
sample_3.wav,0.66614133
sample_4.wav,0.6558654
sample_5.wav,0.71846676
sample_6.wav,0.59613144
sample_7.wav,0.698092
sample_8.wav,0.8056489
sample_9.wav,0.7592404
AVERAGE,0.6930905
