sample_id,emotion,urdu_text,ref_gen_similarity
0,افسردہ,بہت برا ہوں,0.6071178913116455
1,افسردہ,میں ساری زندگی جہاں ارا سے نفرت کرتا رہا,0.5030230283737183
2,افسردہ,اور اس کی سزا میں نے تمہیں بھی دی,0.6036098003387451
3,افسردہ,دل میں تھوڑی گنجائش پیدا کر لیتا تو تین زندگیاں اسان ہو جاتی,0.6501852869987488
4,افسردہ,میں جہاں ارا اور تم ہم اکٹھے رہتے,0.6028735637664795
5,افسردہ,تقسیم نہ ہوتے یہ محبت یہ گنجائش لاتا کہاں سے,0.6504085063934326
6,افسردہ,کمبخت نفرت نے کچھ سوچنا ہی نہیں دیا,0.58358234167099
7,افسردہ,جہاں ارا اس سے ملا ہوں تو ہو مجھے اندازہ ہوا ہے کہ,0.622384786605835
8,افسردہ,میں نے زندگی میں کتنا نقصان اٹھایا ہے,0.5563957691192627
9,افسردہ,نہیں بھولوں گا پیار تھا مجھ سے,0.5507716536521912
10,بوریت,اچھا چلیں اپ کہتی ہیں تو مان لیتا ہوں,0.601324200630188
11,بوریت,تنہا انسان تو بالکل خاک کی طرح ہوتا ہے,0.5952630043029785
12,بوریت,اس لیے کہ میں نے کبھی پیار سے اس کو بولا ہی نہیں ہے,0.5818294882774353
13,بوریت,ہاں مگر روح بن کر زندگی کو ضرور نگل جاتی ہے,0.6569979786872864
14,بوریت,لاکھ ان کو دل سے نکالنا چاہو نہیں نکلتے,0.6020700335502625
15,بوریت,مگر کچھ رشتے ٹوٹ کر بھی دل میں تعلق بن کر کھڑے رہتے ہیں,0.6526695489883423
16,بوریت,رشتہ تو جہاں ارا سے کب کا ٹوٹ چکا تھا,0.5854598879814148
17,بوریت,کیا کہوں تم سے کیوں یہ انسو میری انکھ میں اگئے,0.669350266456604
18,بوریت,میں نا اچھا باب بن سکا  نہ اچھا شوہر,0.49895593523979187
19,بوریت,نیلم کو رخصت کرتے وقت دل بہت اداس تھا,0.5491206645965576
20,خوشی,بتاؤ بیٹا کیا چاہیے تمہیں,0.4675408601760864
21,خوشی,مہمان اگئے کون کون اگیا,0.49161624908447266
22,خوشی,ارے اپا شکریہ,0.5273272395133972
23,خوشی,اپ کے ہاتھوں کی لسی کی تو بات ہی کچھ اور ہے,0.5661737322807312
24,خوشی,اکیلی ائی ہو حسان نہیں ایا اؤ اؤ اؤ,0.46485573053359985
25,خوشی,جب زبان ساتھ دینے لگے تو ضرور کہنا مجھے اچھا لگے گا,0.6027023196220398
26,خوشی,ہاں بدر ہے نا اب افس میں,0.5206844806671143
27,خوشی,بس اب تھوڑی دیر کے لیے جاتا ہوں پھر واپس ا جاتا ہوں,0.544303297996521
28,خوشی,کیا بنا رہی ہو اج کھانے میں,0.4738781452178955
29,خوشی,بتاؤ نا کیا بنا رہی ہو,0.584464430809021
30,خوف,دعا کرو کہ وہ کسی مشکل میں ہو تبھی اسے ہوش ائے گا,0.5876157283782959
31,خوف,میں سمجھتا ہوں کہ بچیوں کو اس طرح وہاں بھیجنا کچھ مناسب نہیں لگتا,0.5195456147193909
32,خوف,جھوٹ مت بولو گیتی بتاؤ کس کا فون ہے یہ,0.602674663066864
33,خوف,اسی مہینے ظفر اور گیتی کا نکاح کر دیتے ہیں,0.6401666402816772
34,خوف,میں کسی بھی بڑی مشکل سے بچنا چاہتا ہوں,0.6037444472312927
35,خوف,وہ اگر یہاں ہوتی نا تو میرے لہجے میں بھی اتنی تلخی نہ ہوتی,0.5470054745674133
36,خوف,اس نے یہاں سے جا کر میری محبت اور تمہارے نصیب میں کانٹے بوئے ہیں,0.514681875705719
37,خوف,منور تم فون نہیں کرو گے,0.6427952647209167
38,خوف,بدر اپنے گھر فون لگا اور اپنے باپ کو بلا,0.5510468482971191
39,خوف,کچھ تو بھرم رہ جائے گا,0.5272306799888611
40,غصہ,اور تم سارے شہر میں یہ ڈھنڈورا پیٹتی آ رہی ہو ,0.6143081188201904
41,غصہ,تم نہیں سمجھ رہی ہو تمہیں سمجھ نہیں آ رہی ہے,0.4942536950111389
42,غصہ,نکلو یہاں سے باہر، چلو جاؤ,0.47089487314224243
43,غصہ,بکواس کر رہے ہو تم,0.5092591643333435
44,غصہ,اگر اسے بات کرنے کی تمیز نہیں ہے تو اسے اس گھر میں بھی رہنے کی کوئی ضرورت نہیں ہے,0.540088415145874
45,غصہ,احسان کے گھر میں پینٹ کا کام مکمل نہیں ہوا ابھی تک اور تم کہہ رہے ہو کہ میں نے سارے کام کر دیے ہیں ,0.6010174751281738
46,غصہ,زبیر بس بس، چلو یہاں سے,0.6022682785987854
47,غصہ,بس بس میں آ گیا ہوں نا مرتسم خان، مجھ سے بات کرو,0.5846309661865234
48,غصہ,میں نے دوستی کا ہاتھ بڑھایا تو ہاتھ تھام لیا اس نے,0.529093325138092
49,غصہ,زبیر ملک بس، تم نے اس کی بیوی کو اغوا کیا,0.566688597202301
50,ناگواری,موسی میری انکھ میں انکھ ڈال کر بات کر تاکہ جو میں سوال کروں اس کا جواب تیری انکھ میں پڑھ سکوں,0.554847776889801
51,ناگواری,جو ادمی باپ کے پیسے جوئے میں اڑاے اس سے کیا امید رکھی جا سکتی ہے چلو راحیلہ صاحبزادے کو ارام کرنے دو,0.5917592644691467
52,ناگواری,کیا کروں ان سب کا باقی کام تو تم سے ہو نہیں رہے,0.5807549953460693
53,ناگواری,باہر دانے کا بندوبست نہیں کیا موٹر خراب پڑی ہے مکینک نہیں ایا,0.5637291073799133
54,ناگواری,یہ جو ہڈ ہرامی ہے نا سخت ناپسند ہے مجھے,0.524867594242096
55,ناگواری,یہی تو بات ہے کہ بچی نہیں رہی ہے بڑی ہو گئی ہے وہ,0.5590039491653442
56,ناگواری,پھر محبت کرنا ضروری ہے کیا ضرورتیں تو  پوری ہو رہی ہیں اس کی,0.5859059691429138
57,ناگواری,ھو میری بھی کیا زندگی ہے ایک عورت ملی اور وہ بھی دھوکہ دے کے چلی گئی,0.5598874092102051
58,ناگواری,رہنے دو تم پڑھائی  پڑھائی کی اتنی فکر ہوتی نا تو دو مضامین میں  سپلی نہ اتی تمہاری,0.5836224555969238
59,ناگواری,اچھا نا میں بات کر رہا ہوں نا تم خاموش رہو,0.5108439326286316
