domain,tts_model,formal_subset,mcd_db_mean,mcd_db_std,f0_rmse_cents_mean,f0_rmse_cents_std,f0_rmse_cents_raw_mean,f0_fpe_cents_mean,f0_fpe_cents_std,f0_gpe_mean,n_files
Conversational,edgetts,,5.62306055037375,1.0327630870116828,477.1371371602652,80.82672595298419,500.9506427009482,167.21332681618944,14.05585702706057,0.5174078656290525,60
Conversational,gemini,,7.299624746994512,1.6548132179028414,501.1171760528827,98.17021009388691,555.3994968201258,167.95464668092438,18.41146256835625,0.5469428227413942,60
Conversational,indic_parler,,6.441716680736267,1.8087475600406486,503.30293945172576,118.9628480339436,592.8894820975706,168.5257224535768,15.489467602418438,0.5901054175326348,60
Conversational,mmstts,,8.2459261481465,1.2698834034554702,481.61034323940925,81.57689826239479,535.7687073599537,174.06334183264215,11.564158695761444,0.5808488805171578,60
Emotional,edgetts,,12.166641501716432,3.0181745168282292,616.3784784610067,203.63691193252137,765.1430355491237,172.31057244384888,16.171644809779735,0.6620499899325639,60
Emotional,gemini,,13.584193572765868,2.3512481991941594,615.2876467090884,185.05668999581172,1027.437269875227,182.8132782908727,31.086986947164814,0.8508546022781073,60
Emotional,indic_parler,,10.622985665470596,2.14163496558341,647.1103566770825,162.6677485177845,915.5291995981739,176.469272328019,20.090715287402947,0.7844843719415169,60
Emotional,mmstts,,11.747123562579672,2.336495045410256,602.179832361179,171.6338589855638,846.049995410563,180.6033340938267,24.77244554828931,0.781367570807497,60
Formal,edgetts,fleurs,7.97999865539921,1.3743956660284085,497.82298501370747,50.97321010638014,570.7695358370087,169.18203280648171,15.09585017557156,0.6171715050336987,30
Formal,edgetts,wiki,7.47195108780655,0.9252886759549724,456.8474540593382,57.20424959682033,482.62941880675373,171.20273592328752,7.02588654016658,0.5109884854194572,30
Formal,gemini,fleurs,11.145559872198676,1.321790751742137,552.6774373827291,93.17312332953121,620.4052267738306,171.16191739495545,12.234810835228641,0.6407959943044834,30
Formal,gemini,wiki,8.243683046895235,1.0935494445681115,440.9696629174896,60.69814507594017,490.0356265812401,172.65457405073758,12.819118745646747,0.4924518459452886,30
Formal,indic_parler,fleurs,10.36745760315014,1.254872116248146,450.6066470045137,76.72419747248904,470.6585218487355,162.8213783207376,7.857438814252316,0.4590858030923613,30
Formal,indic_parler,wiki,7.508037142777423,0.9973287337244106,480.7606467254445,73.51101747376474,541.341687862965,170.56260510750607,10.202177077920135,0.5587933727026376,30
Formal,mmstts,fleurs,10.36745760315014,1.254872116248146,450.6066470045137,76.72419747248904,470.6585218487355,162.8213783207376,7.857438814252316,0.4590858030923613,30
Formal,mmstts,wiki,9.896157103585239,0.8398244080224709,479.4151069842228,60.78745053947679,521.3056824096155,171.56482136127278,7.38308945848613,0.5587921061601822,30
Literary_storytelling,edgetts,,6.317625942844731,0.9491044257871915,491.6087936237092,82.93943805660082,505.53139383553724,169.00659284729053,10.278806654346656,0.5381996322105551,60
Literary_storytelling,gemini,,8.66612226158407,1.0250917441086522,468.1134172368094,96.60631204262432,537.2050476355928,170.0346059342143,12.273201645450852,0.5702605870557724,60
Literary_storytelling,indic_parler,,7.087986782521406,0.8755199303078036,467.35310361784116,64.33775032776991,550.1224321418455,168.23926418838766,9.59085699148226,0.5737768185382595,60
Literary_storytelling,mmstts,,9.39853112424359,1.013723942430028,438.58637943675507,55.051348122539814,492.08248748141824,170.1828487331242,10.961226463311869,0.5203161392136427,60
