file_name,cosine_similarity
sample_0.wav,0.97463226
sample_1.wav,0.9839918
sample_10.wav,0.96708673
sample_11.wav,0.93059635
sample_12.wav,0.98162436
sample_13.wav,0.9359187
sample_14.wav,0.98436177
sample_15.wav,0.983773
sample_16.wav,0.968866
sample_17.wav,0.9591897
sample_18.wav,0.9702892
sample_19.wav,0.9826002
sample_2.wav,0.9730869
sample_20.wav,0.950323
sample_21.wav,0.98292804
sample_22.wav,0.98069096
sample_23.wav,0.9800951
sample_24.wav,0.9824097
sample_25.wav,0.9799005
sample_26.wav,0.9607845
sample_27.wav,0.973338
sample_28.wav,0.9753142
sample_29.wav,0.9754665
sample_3.wav,0.98596656
sample_30.wav,0.9638361
sample_31.wav,0.9816307
sample_32.wav,0.9829913
sample_33.wav,0.97232354
sample_34.wav,0.98456436
sample_35.wav,0.9835172
sample_36.wav,0.95598054
sample_37.wav,0.96780235
sample_38.wav,0.9392416
sample_39.wav,0.9762046
sample_4.wav,0.96503484
sample_40.wav,0.96094906
sample_41.wav,0.96729404
sample_42.wav,0.96263117
sample_43.wav,0.9617264
sample_44.wav,0.9698278
sample_45.wav,0.9848239
sample_46.wav,0.9792988
sample_47.wav,0.9671698
sample_48.wav,0.96002704
sample_49.wav,0.9837123
sample_5.wav,0.98940283
sample_50.wav,0.97839034
sample_51.wav,0.9538091
sample_52.wav,0.9374999
sample_53.wav,0.9860486
sample_54.wav,0.98194146
sample_55.wav,0.989743
sample_56.wav,0.98216033
sample_57.wav,0.9715649
sample_58.wav,0.9640665
sample_59.wav,0.9808029
sample_6.wav,0.98948616
sample_7.wav,0.9668533
sample_8.wav,0.95206445
sample_9.wav,0.9777594
AVERAGE,0.9715902
